Time (s),Height (m)
0,-0.000000000120557439294714
900,-0.0000000000255732944392887
1800,-0.000000000132703712752578
2700,-0.000000000176448299320363
3600,-0.000000000227118080654638
4500,-0.000000000226934205792228
5400,-0.000000000450830454180117
6300,0.0000000106100470254226
7200,0.0000101839469134263
8100,0.00158539062050421
9000,0.0384605111194313
9900,0.0870683157041968
10800,-0.120705368624189
11700,-0.404756771557061
12600,-0.599579238063902
13500,-0.709067935709179
14400,-0.763182394832249
15300,-0.815354140469822
16200,-0.776544920832837
17100,-0.70563569779271
18000,-0.552969073452483
18900,-0.403084964164713
19800,-0.0760873494889577
20700,0.158076230603325
21600,0.39919412155689
22500,0.499039207616957
23400,0.744885283796333
24300,0.922202654275597
25200,1.18995079356574
26100,1.20424685147665
27000,1.19663700251249
27900,1.32098674982653
28800,1.40156153026949
29700,1.24536590244816
30600,1.09067779207631
31500,0.945427424076881
32400,0.655873000123847
33300,0.481051723061801
34200,0.265224593063077
35100,0.0828088447131118
36000,-0.00854423846119386
36900,-0.0308613464624428
37800,-0.166948053967791
38700,-0.177715317943932
39600,-0.285678866479757
40500,-0.485854391080198
41400,-0.672939365520415
42300,-0.704381220641808
43200,-0.776245071534527
44100,-0.868447237852426
45000,-0.981807549972413
45900,-1.01973191047575
46800,-0.863578008914733
47700,-0.826731363560778
48600,-1.07960399197441
49500,-1.03398234302105
50400,-0.7733085250617
51300,-0.685060345432301
52200,-0.806001177123794
53100,-0.817691019773944
54000,-0.670667995604227
54900,-0.619848707803254
55800,-0.728184683122985
56700,-0.830555870048384
57600,-0.82718455815552
58500,-0.76038318629762
59400,-0.873616730970912
60300,-0.881175969200736
61200,-0.79222525434831
62100,-0.80106658100778
63000,-0.760963962033085
63900,-0.566755609355607
64800,-0.265524913480167
65700,0.029837025623543
66600,0.320150817402034
67500,0.528708679394218
68400,0.731492660665338
69300,0.942378968552955
70200,1.00446838807752
71100,1.11777612239413
72000,1.22845660656155
72900,1.19561600782998
73800,1.35178945326799
74700,1.30121564903752
75600,1.26834138431758
76500,1.21404829024682
77400,1.09230026472216
78300,0.988546886768624
79200,0.889358160685246
80100,0.759070626809567
81000,0.699748189937278
81900,0.630681644881237
82800,0.594203356916715
83700,0.412384003820132
84600,0.309849110781614
85500,0.285803392070435
86400,0.192109184280544
87300,-0.0279425067355471
88200,-0.156871538359209
89100,-0.199373703974545
90000,-0.308725235778081
90900,-0.373243259754518
91800,-0.469685101078076
92700,-0.501996060207617
93600,-0.503519746636828
94500,-0.59282294689484
95400,-0.544951537059162
96300,-0.46033202040765
97200,-0.433386395108586
98100,-0.459101599243018
99000,-0.403219187755259
99900,-0.355541028958288
100800,-0.268176370290742
101700,-0.274102625522168
102600,-0.303330297372415
103500,-0.326951452405414
104400,-0.309264510421656
105300,-0.242165811523321
106200,-0.173205570233054
107100,-0.126416973786712
108000,0.0112791597117629
108900,0.0735839801536573
109800,0.0995934792759402
110700,0.235361306171401
111600,0.463152787175745
112500,0.573180718308422
113400,0.648494423454554
114300,0.757601953487254
115200,0.899481668555883
116100,0.89696769721097
117000,0.869801937130952
117900,0.869478937634684
118800,0.816265285272921
119700,0.67935945521698
120600,0.592081261594588
121500,0.523183746492221
122400,0.44894695964572
123300,0.366950167930179
124200,0.277701986288133
125100,0.221859616901143
126000,0.0879204402835146
126900,-0.0901223059424633
127800,-0.171682481047618
128700,-0.263689272228215
129600,-0.400562841591041
130500,-0.528505276514473
131400,-0.616552324066628
132300,-0.708028752836608
133200,-0.834071351248241
134100,-0.90985377679393
135000,-0.998424329308889
135900,-1.09150919005431
136800,-1.19101637725269
137700,-1.27203703027881
138600,-1.33725350273797
139500,-1.35398855209414
140400,-1.31749739664631
141300,-1.26229785584119
142200,-1.15690574830574
143100,-1.06009136221402
144000,-0.982144579040912
144900,-0.874787418405744
145800,-0.783290315731404
146700,-0.723839436864387
147600,-0.647766064482673
148500,-0.567551103019267
149400,-0.424368878844425
150300,-0.309004721316769
151200,-0.199159766659601
152100,-0.0579525932362906
153000,0.101148470359434
153900,0.163100051367972
154800,0.302457483383061
155700,0.521678743289903
156600,0.713791985194565
157500,0.836957059138462
158400,0.989739890334278
159300,1.11492973169114
160200,1.15903585748919
161100,1.21186883279503
162000,1.23317605829337
162900,1.19210989695298
163800,1.16538426343518
164700,1.17384207298073
165600,1.12844196174142
166500,1.05832279444382
167400,0.99031536440933
168300,0.928265878999373
169200,0.804681820961565
170100,0.713963890406319
171000,0.636099899723645
171900,0.58030323156712
172800,0.468894659062815
173700,0.396810346664969
174600,0.352320905715999
175500,0.262758955999042
176400,0.143448849030635
177300,0.0518846250063191
178200,-0.062529252169503
179100,-0.172911274635398
180000,-0.326435736640015
180900,-0.478500139192451
181800,-0.580084112153267
182700,-0.61497100411926
183600,-0.66310377134126
184500,-0.659265027351145
185400,-0.62273458010465
186300,-0.597071130645872
187200,-0.572678883406465
188100,-0.524232087448357
189000,-0.492830989946315
189900,-0.483095038869188
190800,-0.433373723158223
191700,-0.328846564612065
192600,-0.21570104620148
193500,-0.140864409897269
194400,-0.0386857636555036
195300,0.063360275934507
196200,0.152705119587603
197100,0.176163914337225
198000,0.221508506377255
198900,0.297391145081857
199800,0.375947094509743
200700,0.449550316733813
201600,0.574438566250063
202500,0.669478720353451
203400,0.750549508816274
204300,0.778047901615484
205200,0.766478852902915
206100,0.729891294130474
207000,0.67233496444867
207900,0.608425503512188
208800,0.516853976426757
209700,0.446810275611289
210600,0.376542980817866
211500,0.297239876878596
212400,0.183740688394309
213300,0.0845861009760647
214200,-0.0293027841356806
215100,-0.114298912984476
216000,-0.236052496567445
216900,-0.358025926128049
217800,-0.454964907054361
218700,-0.516047590627645
219600,-0.611773770546072
220500,-0.68194649276574
221400,-0.777674657892288
222300,-0.866847648483274
223200,-0.987253668800825
224100,-1.1141436857113
225000,-1.21030715001176
225900,-1.26208278880448
226800,-1.31250979685535
227700,-1.3420566230263
228600,-1.33481933028834
229500,-1.31185628152891
230400,-1.26634297799405
231300,-1.19671965534243
232200,-1.10014190274451
233100,-1.01274412223522
234000,-0.896809394523008
234900,-0.764788189304751
235800,-0.610828728099891
236700,-0.499853556539117
237600,-0.349334308410577
238500,-0.189231324633238
239400,-0.0457470530876515
240300,0.0459248478747704
241200,0.180340720960241
242100,0.323028260943258
243000,0.465724445656165
243900,0.571615586507529
244800,0.730881171412188
245700,0.879034303033975
246600,1.00466178182705
247500,1.10221115408127
248400,1.19864350692911
249300,1.22789743825714
250200,1.23843417877948
251100,1.23250848696131
252000,1.20541685329408
252900,1.17983873907824
253800,1.14523903915501
254700,1.11016418865511
255600,1.04712977182656
256500,0.96938958821729
257400,0.872173489107368
258300,0.793770772482731
259200,0.688365105281306
260100,0.590947790534001
261000,0.492741308185837
261900,0.429791973866596
262800,0.362504648572108
263700,0.296299623313179
264600,0.217171473427858
265500,0.143928987227491
266400,0.0285295048785931
267300,-0.107301789001826
268200,-0.254931785923303
269100,-0.354395028639094
270000,-0.469862782794568
270900,-0.568111336457562
271800,-0.626083950943
272700,-0.648078923402732
273600,-0.659067894383077
274500,-0.651536857208898
275400,-0.637204724618257
276300,-0.62692138878474
277200,-0.588548765539686
278100,-0.533732702119593
279000,-0.45697772890649
279900,-0.378967143138494
280800,-0.259137522344508
281700,-0.140663358277723
282600,-0.0215156441934394
283500,0.0637932658476483
284400,0.158704997774957
285300,0.232015411362157
286200,0.291551183011019
287100,0.336855261300812
288000,0.40390055980272
288900,0.478448773160855
289800,0.553376867243822
290700,0.604107472312971
291600,0.659114882531597
292500,0.684524475018151
293400,0.669911533952409
294300,0.637749755596358
295200,0.573688831255006
296100,0.489487276042381
297000,0.409006701045797
297900,0.355241790938304
298800,0.275790414999271
299700,0.179524663479677
300600,0.0771176694376265
301500,-0.00352441826311182
302400,-0.1145644604975
303300,-0.231594188530705
304200,-0.336044078966751
305100,-0.408914867818878
306000,-0.509532031979157
306900,-0.597919873935179
307800,-0.665356451241749
308700,-0.71675871492974
309600,-0.799761776546001
310500,-0.891676180784828
311400,-0.992204683132388
312300,-1.06887387034236
313200,-1.15694667273868
314100,-1.22597363054798
315000,-1.27246758390013
315900,-1.29179869741108
316800,-1.29547167391152
317700,-1.27811882218606
318600,-1.24190363236797
319500,-1.1987334916298
320400,-1.12193365726233
321300,-1.02505854501641
322200,-0.906772357364962
323100,-0.80127369803018
324000,-0.64201451044886
324900,-0.475961056357395
325800,-0.306509560245558
326700,-0.180318230848995
327600,-0.0121659377135908
328500,0.14893294091395
329400,0.298025198244598
330300,0.40585173823573
331200,0.549865799080878
332100,0.69822491713968
333000,0.845273784534404
333900,0.950713560738828
334800,1.07635711170666
335700,1.17698617017842
336600,1.24422717928066
337500,1.26930700547484
338400,1.27750895973784
339300,1.26386957160475
340200,1.23608870856316
341100,1.20740667424712
342000,1.16151129270814
342900,1.10598318683959
343800,1.03408607816747
344700,0.969203017156048
345600,0.87592626542793
346500,0.770239625150012
347400,0.658081109832324
348300,0.578866852488846
349200,0.482413959404661
350100,0.396880631424937
351000,0.327193235899633
351900,0.282010920870707
352800,0.220222308194285
353700,0.137026329941348
354600,0.0337595831618846
355500,-0.0513731027071189
356400,-0.175322352471713
357300,-0.300724219947815
358200,-0.40961694455108
359100,-0.477359552225271
360000,-0.545403394160811
360900,-0.580968961398146
361800,-0.5962228850878
362700,-0.602241004789135
363600,-0.606289505366626
364500,-0.601383985638398
365400,-0.57842284611874
366300,-0.545524547667875
367200,-0.47918047514571
368100,-0.385816826251523
369000,-0.272795494720963
369900,-0.180956645202985
370800,-0.0577226737641779
371700,0.0566133833039949
372600,0.154834249916539
373500,0.216523433461572
374400,0.284275825082957
375300,0.346441359813773
376200,0.411749006532273
377100,0.4648310888702
378000,0.538393317484799
378900,0.599489737810731
379800,0.638875394063602
380700,0.64968173574175
381600,0.633081681882775
382500,0.581963506056466
383400,0.506247188829716
384300,0.441250363384435
385200,0.352339441033937
386100,0.266011800047438
387000,0.175011806186955
387900,0.102691767657653
388800,-0.00104402960635985
389700,-0.11280109192734
390600,-0.229426309210371
391500,-0.31630255247154
392400,-0.425618827783684
393300,-0.526222152120287
394200,-0.61750691802406
395100,-0.678071764768914
396000,-0.746099987340157
396900,-0.804162882716155
397800,-0.869243255748789
398700,-0.928923585294037
399600,-1.0133372759053
400500,-1.09105125128475
401400,-1.15671860970052
402300,-1.19460253523587
403200,-1.22523517709093
404100,-1.23377764185117
405000,-1.22273391527106
405900,-1.20497783366834
406800,-1.1670633216292
407700,-1.11174138747276
408600,-1.03873321923277
409500,-0.969810667813086
410400,-0.857516116976016
411300,-0.723808284206949
412200,-0.571833335415177
413100,-0.451113527156329
414000,-0.28641601436902
414900,-0.119407445876302
415800,0.0483938864136936
416700,0.170888128933659
417600,0.325585198964884
418500,0.472222003690635
419400,0.619452552533969
420300,0.731441727919295
421200,0.88005802116639
422100,1.02111319523132
423000,1.14161198870798
423900,1.21395408246196
424800,1.2811450444455
425700,1.31047451661352
426600,1.30697004916247
427500,1.28940676366551
428400,1.25498356758444
429300,1.21221497780776
430200,1.1581620569878
431100,1.10892027626783
432000,1.03257769257315
432900,0.941622581118806
433800,0.836208871763127
434700,0.751094283801365
435600,0.636120703707123
436500,0.526059303369114
437400,0.427017136657198
438300,0.364206714030579
439200,0.296473436803052
440100,0.239142993157648
441000,0.17548576643823
441900,0.115816241395541
442800,0.0216185818849158
443700,-0.0834273726711191
444600,-0.19547036297222
445500,-0.279159818473711
446400,-0.379813424231949
447300,-0.458350156356198
448200,-0.508524891447502
449100,-0.528127668315626
450000,-0.538139650170251
450900,-0.541699335327771
451800,-0.545849707875406
452700,-0.545098782575677
453600,-0.530306091708679
454500,-0.496663492894609
455400,-0.437811654707165
456300,-0.373824945047572
457200,-0.271201697868677
458100,-0.159863377305621
459000,-0.0452080404183618
459900,0.0370845215479011
460800,0.133171413014726
461700,0.210278032178615
462600,0.272312852911763
463500,0.316588929970983
464400,0.38246388549415
465300,0.45542121910412
466200,0.525967766128023
467100,0.570647113599945
468000,0.609874687498941
468900,0.616500399092219
469800,0.587344403816863
470700,0.544101332265251
471600,0.464991618892297
472500,0.373587186064182
473400,0.281944338475052
474300,0.214273502540411
475200,0.120766165670554
476100,0.0200668206208309
477000,-0.08799615548351
477900,-0.173802379392369
478800,-0.292264394107658
479700,-0.408585185693735
480600,-0.515735212725787
481500,-0.590431146223011
482400,-0.68156183416355
483300,-0.75582633342532
484200,-0.813409095281826
485100,-0.851292777584393
486000,-0.905883314333878
486900,-0.974036953673888
487800,-1.04797628823769
488700,-1.09692024348409
489600,-1.14784448555846
490500,-1.18188621088747
491400,-1.19331760126898
492300,-1.18578235349246
493200,-1.16103279442097
494100,-1.12493343341292
495000,-1.0751695384328
495900,-1.02859556797598
496800,-0.955535488277915
497700,-0.86452719889919
498600,-0.75087625315614
499500,-0.652901913620769
500400,-0.509456580174267
501300,-0.356606670893722
502200,-0.199520201020556
503100,-0.0805714464124095
504000,0.0787505864570238
504900,0.23419963918083
505800,0.381426974847029
506700,0.488529504073609
507600,0.632943955218762
508500,0.78222554382676
509400,0.931128707148872
510300,1.03614261910575
511200,1.15846374195754
512100,1.25198210335793
513000,1.30914794579471
513900,1.3266426041652
514800,1.32127868551019
515700,1.29321109784447
516600,1.25294009685466
517500,1.21659528837369
518400,1.15768363627709
519300,1.08576203165247
520200,1.00156941565805
521100,0.929355756805327
522000,0.820000774031878
522900,0.701045179389328
523800,0.58258690541034
524700,0.498150854889594
525600,0.396676027730878
526500,0.31426619600144
527400,0.251137553075229
528300,0.20969003498819
529200,0.148735586198541
530100,0.0717381934656945
531000,-0.0197033996008831
531900,-0.0951591378935484
532800,-0.201129668501672
533700,-0.302811260794847
534600,-0.388776228434636
535500,-0.438006380899855
536400,-0.478532439270515
537300,-0.491910344878726
538200,-0.491886589172456
539100,-0.491948386526645
540000,-0.494798289020935
540900,-0.493241140101472
541800,-0.478711104736575
542700,-0.455928368807212
543600,-0.404263268929725
544500,-0.326049594455516
545400,-0.230860267780392
546300,-0.154585396750058
547200,-0.0510368121572496
